Vendor ID,Vendor,Count
1008,Mark Otto ,10
1110,MSS Software ,10
1178,NHibernate ,10
1199,Notepad++.org ,10
1202,Novo Nordisk ,10
1222,ObjectWeb Forge ,10
1275,"Oticon, Inc. ",10
1308,Pentaho Corporation ,10
1337,Pivotal Labs ,10
1340,Planmeca ,10
1383,QGIS User Group ,10
1384,QlikTech ,10
1395,R Foundation for Statistical Computing ,10
1421,Request ,10
1429,RhinoSoft ,10
1437,RMG Networks ,10
1520,Sharp ,10
1521,Shaun Purcell ,10
1542,Smart Company Software ,10
1572,Sorenson Media ,10
1573,Sorna ,10
1584,Spellex Corporation ,10
1596,SSB Bart Group ,10
1616,Steve Freeman ,10
1645,SystemTools Software Inc. ,10
1658,Technology For Business ,10
1677,The CentOS Project ,10
1709,Tobii Technology ,10
1714,Toshiba ,10
1827,Vyopta ,10
1830,Walsh ,10
1843,Webmin ,10
1864,Wild Divine ,10
1883,WS-I ,10
1885,Wycats ,10
1900,Yargs ,10
15,ABBYY ,9
21,Accutive ,9
27,ActiGraph Corp. ,9
51,ai squared ,9
59,Alere Informatics ,9
112,APA ,9
139,"Artifex Software, Inc ",9
161,ATLAS.ti Scientific Software Development GmbH ,9
164,Atozed Software ,9
183,Aware ,9
260,bullzip.com ,9
271,Calgary Scientific ,9
296,"Censis Technologies, Inc. ",9
358,CompX Security Products ,9
359,concrete5 ,9
370,Cooper-Atkins ,9
380,Cross Match Technologies ,9
443,DeVilbiss Healthcare LLC ,9
479,Dolbey ,9
483,"Domo, Inc. ",9
505,Earnie Boyd ,9
516,Egenera ,9
543,Empirix ,9
570,Euro Plus ,9
644,Gene Codes Corporation ,9
677,Gregory Wild-Smith ,9
694,harmon.ie ,9
716,Highsoft ,9
729,"HPC, Inc. ",9
772,Infor ,9
778,"Information Technology Works, Inc. ",9
789,InQuisient ,9
796,Intel Security ,9
893,JSD Software ,9
908,Kaltura ,9
936,Krengeltech ,9
1063,Micro Technology Services ,9
1116,Muthen & Muthen ,9
1149,NEMA ,9
1177,"Nginx, Inc. ",9
1237,OMB - The White House ,9
1240,On Hold Marketing ,9
1274,OSEHRA ,9
1292,Parker ,9
